parcellation,scale,spintype,netclass,network,zscore,pval
atl-cammoun2012,scale033,naive-nonpara,yeo,visual,3.569417564024003,0.00029997000299970003
atl-cammoun2012,scale033,naive-nonpara,yeo,somatomotor,3.545786885996803,0.00029997000299970003
atl-cammoun2012,scale033,naive-nonpara,yeo,dorsal attention,0.6394645689742734,0.47755224477552244
atl-cammoun2012,scale033,naive-nonpara,yeo,ventral attention,-2.7997174672120533,0.005099490050994901
atl-cammoun2012,scale033,naive-nonpara,yeo,limbic,-2.6757715097849415,0.006299370062993701
atl-cammoun2012,scale033,naive-nonpara,yeo,frontoparietal,-0.4472025613310115,0.6398360163983602
atl-cammoun2012,scale033,naive-nonpara,yeo,default mode,-1.345484627446747,0.1842815718428157
atl-cammoun2012,scale033,vazquez-rodriguez,yeo,visual,1.5807271381275347,0.08789121087891211
atl-cammoun2012,scale033,vazquez-rodriguez,yeo,somatomotor,2.2807622849521887,0.0211978802119788
atl-cammoun2012,scale033,vazquez-rodriguez,yeo,dorsal attention,0.42099971632280897,0.6685331466853315
atl-cammoun2012,scale033,vazquez-rodriguez,yeo,ventral attention,-2.326029462429102,0.0230976902309769
atl-cammoun2012,scale033,vazquez-rodriguez,yeo,limbic,-1.4927799320179667,0.11188881111888811
atl-cammoun2012,scale033,vazquez-rodriguez,yeo,frontoparietal,-0.49500243986701903,0.6655334466553344
atl-cammoun2012,scale033,vazquez-rodriguez,yeo,default mode,-1.6891422841213557,0.0882911708829117
atl-cammoun2012,scale033,vasa,yeo,visual,2.006394090519097,0.026097390260973904
atl-cammoun2012,scale033,vasa,yeo,somatomotor,2.338492054371835,0.013398660133986601
atl-cammoun2012,scale033,vasa,yeo,dorsal attention,0.45864553787265966,0.6414358564143585
atl-cammoun2012,scale033,vasa,yeo,ventral attention,-2.355746542525246,0.020597940205979402
atl-cammoun2012,scale033,vasa,yeo,limbic,-1.5307846679622479,0.11988801119888011
atl-cammoun2012,scale033,vasa,yeo,frontoparietal,-0.38559166264134,0.724027597240276
atl-cammoun2012,scale033,vasa,yeo,default mode,-1.392762768466361,0.16518348165183483
atl-cammoun2012,scale033,hungarian,yeo,visual,1.8428675907278271,0.046295370462953706
atl-cammoun2012,scale033,hungarian,yeo,somatomotor,2.218914767621332,0.015998400159984
atl-cammoun2012,scale033,hungarian,yeo,dorsal attention,0.4794812206559245,0.5508449155084492
atl-cammoun2012,scale033,hungarian,yeo,ventral attention,-2.0821802147060557,0.039396060393960604
atl-cammoun2012,scale033,hungarian,yeo,limbic,-1.4068460599347565,0.1556844315568443
atl-cammoun2012,scale033,hungarian,yeo,frontoparietal,-0.35869983823502327,0.7468253174682532
atl-cammoun2012,scale033,hungarian,yeo,default mode,-1.3347233945120416,0.18248175182481752
atl-cammoun2012,scale033,baum,yeo,visual,2.0509126974180214,0.030996900309969003
atl-cammoun2012,scale033,baum,yeo,somatomotor,3.1737232282980052,0.0008999100089991
atl-cammoun2012,scale033,baum,yeo,dorsal attention,0.5641850099360717,0.6684331566843316
atl-cammoun2012,scale033,baum,yeo,ventral attention,-3.1749165325972846,0.0033996600339966003
atl-cammoun2012,scale033,baum,yeo,limbic,-1.9683393811310927,0.036396360363963605
atl-cammoun2012,scale033,baum,yeo,frontoparietal,-0.7224853586936428,0.49865013498650135
atl-cammoun2012,scale033,baum,yeo,default mode,-2.424373356294478,0.014298570142985701
atl-cammoun2012,scale033,cornblath,yeo,visual,2.0861700127843776,0.0292970702929707
atl-cammoun2012,scale033,cornblath,yeo,somatomotor,3.359032243629129,9.999000099990002e-05
atl-cammoun2012,scale033,cornblath,yeo,dorsal attention,0.6654905120164193,0.5491450854914508
atl-cammoun2012,scale033,cornblath,yeo,ventral attention,-3.4114127585289764,0.00039996000399960006
atl-cammoun2012,scale033,cornblath,yeo,limbic,-2.016478347453009,0.0314968503149685
atl-cammoun2012,scale033,cornblath,yeo,frontoparietal,-0.7449973711120779,0.49345065493450657
atl-cammoun2012,scale033,cornblath,yeo,default mode,-2.867368505477349,0.001999800019998
atl-cammoun2012,scale033,burt2018,yeo,visual,0.841058932326418,0.7977202279772023
atl-cammoun2012,scale033,burt2018,yeo,somatomotor,5.527704748221933,0.000999900009999
